en.APP.INFO_DRAWER.TITLE,Details,Detalles
en.APP.INFO_DRAWER.COMMENTS,Comments,Comentarios
en.APP.INFO_DRAWER.PROPERTIES,Properties,Propiedades
en.APP.INFO_DRAWER.VERSIONS,Versions,Versiones
en.APP.HOME.TITLE,Angular components for Alfresco,Componentes angulares para Alfresco
en.APP.HOME.DOCUMENTATION,Documentation,Documentación
en.APP.LOGOUT.TITLE,Logout Page,Página de cierre de sesión
en.APP.LOGOUT.SUB_TITLE,You are now logged out,Se ha cerrado su sesión
en.APP.LOGOUT.LOGIN,Login,Iniciar sesión
en.APP.LOGOUT.HOME,Home,Inicio
en.APP.ADF_VERSION_MANAGER.ALLOW_DELETE,Allow delete,Permitir eliminar
en.APP.ADF_VERSION_MANAGER.SHOW_COMMENTS,Show comments on versions,Mostrar comentarios en las versiones
en.APP.ADF_VERSION_MANAGER.ALLOW_DOWNLOAD,Enable version download,Habilitar descarga de versión
en.APP.ADF_VERSION_MANAGER.READ_ONLY,Read-only,Solo lectura
en.APP.ADF_VERSION_MANAGER.COMMENTS,Show comments,Mostrar comentarios
en.APP.PERSONAL-FILES,Personal Files,Ficheros personales
en.APP.WARN-MULTIPLE-UPLOADS,Display warning for multiple uploads.,Mostrar advertencia de múltiples cargas.
en.APP.CUSTOM-PERMISSION-MESSAGE,Enable custom permission message,Habilitar mensaje de permiso personalizado
en.APP.MEDIUM-TIME-FORMAT,Enable medium time format for document list,Habilitar formato de tiempo mediano para lista de documentos
en.APP.SEARCH.RADIO.NONE,None,Ninguno
en.APP.SEARCH.RADIO.ALL,All,Todos
en.APP.SEARCH.RADIO.FOLDER,Folder,Carpeta
en.APP.SEARCH.RADIO.DOCUMENT,Document,Documento
en.title,Welcome,Bienvenido
en.VERSION.NO_PERMISSION,You don't have permission to manage versions of this content,No tiene permiso para administrar versiones de este contenido
en.VERSION.NO_PERMISSION_EVENT,You don't have ${event.permission} permission to ${event.action} the ${event.type},No tiene permiso ${event.permission} para ${event.action} el ${event.type}
en.VERSION.CHOOSE_FILE,Select a file to see its versions,Seleccione un fichero para ver sus versiones
en.VERSION.DIALOG.CLOSE,Close,Cerrar
en.VERSION.DIALOG.TITLE,Manage Versions,Gestionar versiones
en.METADATA.DIALOG.CLOSE,Close,Cerrar
en.METADATA.DIALOG.TITLE,Metadata,Metadatos
en.APP_LAYOUT.APP,App,Aplicación
en.APP_LAYOUT.APP_NAME,ADF Demo Application,Aplicación ADF Demo
en.APP_LAYOUT.HOME,Home,Inicio
en.APP_LAYOUT.NODE-SELECTOR,Node Selector,Selector de nodo
en.APP_LAYOUT.SITES,Sites,Sitios
en.APP_LAYOUT.CONTENT_SERVICES,Content Services,Content Services
en.APP_LAYOUT.BREADCRUMB,Breadcrumb,Ruta de navegación
en.APP_LAYOUT.NOTIFICATIONS,Notifications,Notificaciones
en.APP_LAYOUT.TASK_LIST,Task List,Lista de tareas
en.APP_LAYOUT.PROCESS_LIST,Process List,Lista de procesos
en.APP_LAYOUT.PROCESS_CLOUD,Process Cloud,Activiti Cloud
en.APP_LAYOUT.CARD_VIEW,CardView,CardView
en.APP_LAYOUT.PROCESS_SERVICES,Process Services,Process Services
en.APP_LAYOUT.LOGIN,Login,Iniciar sesión
en.APP_LAYOUT.CUSTOM_SOURCES,Custom Sources,Fuentes personalizadas
en.APP_LAYOUT.DATATABLE,Datatable,Tabla de datos
en.APP_LAYOUT.DATATABLE_LAZY,Datatable (Lazy),Tabla de datos (diferida)
en.APP_LAYOUT.DOCUMENT_LIST,Document List,Lista de documentos
en.APP_LAYOUT.TEMPLATE,Template,Plantilla
en.APP_LAYOUT.FORM,Form,Formulario
en.APP_LAYOUT.FORM_LIST,Form List,Lista de formularios
en.APP_LAYOUT.FORM_LOADING,Form Loading,Carga de formulario
en.APP_LAYOUT.UPLOADER,Uploader,Cargador
en.APP_LAYOUT.WEBSCRIPT,Webscript,Webscript
en.APP_LAYOUT.TAG,Tag,Etiqueta
en.APP_LAYOUT.PIPES,Pipes,Tubos
en.APP_LAYOUT.TRASHCAN,Trashcan,Papelera
en.APP_LAYOUT.SOCIAL,Social,Social
en.APP_LAYOUT.SETTINGS,Settings,Configuración
en.APP_LAYOUT.CONFIG-EDITOR,Configuration Editor,Editor de configuración
en.APP_LAYOUT.OVERLAY_VIEWER,Overlay Viewer,Visor de superposición
en.APP_LAYOUT.ABOUT,About,Acerca de
en.APP_LAYOUT.SEARCH,Extended Search,Búsqueda ampliada
en.APP_LAYOUT.EXTENDED_SEARCH_QUERY_BODY,Extended Search with Query Body,Búsqueda ampliada con cuerpo de consulta
en.APP_LAYOUT.WORD_TO_SEARCH,Search Word,Buscar palabra
en.APP_LAYOUT.SEARCH_CREATED_BY,Created By,Creado por
en.APP_LAYOUT.SEARCH_SERVICE_APPROACH,Check this to disable the input property and configure using the service,Marque esto para desactivar la propiedad de entrada y configurar el uso del servicio
en.APP_LAYOUT.HEADER_DATA,Header Data,Datos de encabezado
en.APP_LAYOUT.TREE_VIEW,Tree View,Vista de árbol
en.APP_LAYOUT.ICONS,Icons,Iconos
en.APP_LAYOUT.PEOPLE_GROUPS_CLOUD,People/Group Cloud,Personas/Grupos en la nube
en.APP_LAYOUT.TASK_HEADER_CLOUD.COMPONENT_NAME,Task Header Cloud,Encabezados de tareas en componente nube
en.APP_LAYOUT.TASK_HEADER_CLOUD.APP_NAME_INPUT,App name,Nombre de aplicación
en.APP_LAYOUT.TASK_HEADER_CLOUD.TASK_ID_INPUT,Task id,ID de tarea
en.APP_LAYOUT.TASK_HEADER_CLOUD.FIND_TASK_BUTTON,Find Task,Buscar tarea
en.APP_LAYOUT.PEOPLE_CLOUD,People Cloud Component,Componente en la nube de personas
en.APP_LAYOUT.GROUPS_CLOUD,Groups Cloud Component,Componente en la nube de grupos
en.APP_LAYOUT.CONFIRM-DIALOG,Confirmation Dialog,Cuadro de diálogo de confirmación
en.APP_LAYOUT.COMMUNITY,Community,Community
en.TRASHCAN.ACTIONS.DELETE_PERMANENT,Delete permanently,Eliminar permanentemente
en.TRASHCAN.ACTIONS.RESTORE,Restore,Restaurar
en.TRASHCAN.EMPTY_STATE.TITLE,Trash is empty,La papelera está vacía
en.TRASHCAN.EMPTY_STATE.FIRST_TEXT,Items you delete are moved to the Trash.,Los elementos que elimine se moverán a la papelera.
en.TRASHCAN.EMPTY_STATE.SECOND_TEXT,Empty Trash to permanently delete items.,Vacíe la papelera para eliminar los elementos permanentemente.
en.DOCUMENT_LIST.MULTISELECT_CHECKBOXES,Multiselect (with checkboxes),Selección múltiple (con casillas)
en.DOCUMENT_LIST.THUMBNAILS,Enable Thumbnails,Habilitar miniaturas
en.DOCUMENT_LIST.ALLOW_DROP_FILES,Enable Drop Files in a folder,Habilitar arrastre de ficheros en una carpeta
en.DOCUMENT_LIST.MULTIPLE_FILE_UPLOAD,Multiple File Upload,Carga de varios ficheros
en.DOCUMENT_LIST.FOLDER_UPLOAD,Folder upload,Carga de carpetas
en.DOCUMENT_LIST.CUSTOM_FILTER,Custom extensions filter,Filtro de extensiones personalizado
en.DOCUMENT_LIST.MAX_SIZE,Max size filter,Filtro de tamaño máximo
en.DOCUMENT_LIST.ENABLE_VERSIONING,Enable versioning,Habilitar control de versiones
en.DOCUMENT_LIST.DESCRIPTION_UPLOAD,Enable upload,Habilitar carga
en.DOCUMENT_LIST.ENABLE_INFINITE_SCROLL,Enable Infinite Scrolling,Habilitar desplazamiento infinito
en.DOCUMENT_LIST.MULTISELECT_DESCRIPTION,Use Cmd (Mac) or Ctrl (Windows) to toggle selection of multiple items,Utilice Cmd (Mac) o Ctrl (Windows) para cambiar la selección de varios elementos
en.DOCUMENT_LIST.RECENT.EMPTY_STATE.TITLE,Recent Files list is empty,La lista de ficheros recientes está vacía
en.DOCUMENT_LIST.RECENT.TITLE,Recent Files,Ficheros recientes
en.DOCUMENT_LIST.COLUMNS.DISPLAY_NAME,Display name,Nombre a mostrar
en.DOCUMENT_LIST.COLUMNS.IS_LOCKED,Lock,Bloquear
en.DOCUMENT_LIST.COLUMNS.TAG,Tag,Etiqueta
en.DOCUMENT_LIST.COLUMNS.NODE_ID,Node id,ID de nodo
en.DOCUMENT_LIST.COLUMNS.CREATED_BY,Created by,Creado por
en.DOCUMENT_LIST.COLUMNS.CREATED_ON,Created on,Creado
en.DOCUMENT_LIST.COLUMNS.CREATED,Created,Creado
en.DOCUMENT_LIST.COLUMNS.SIZE,Size,Tamaño
en.DOCUMENT_LIST.COLUMNS.DELETED_ON,Deleted,Eliminado
en.DOCUMENT_LIST.COLUMNS.DELETED_BY,Deleted by,Eliminado por
en.DOCUMENT_LIST.TOOLBAR.CARDVIEW,Card view mode,Modo de vista de tarjeta
en.DOCUMENT_LIST.TOOLBAR.SHARE_EDIT,Edit settings,Editar configuración
en.DOCUMENT_LIST.TOOLBAR.NEW_FOLDER,New folder,Nueva carpeta
en.DOCUMENT_LIST.TOOLBAR.EDIT_FOLDER,Edit folder,Editar carpeta
en.DOCUMENT_LIST.TOOLBAR.DOWNLOAD,Download,Descargar
en.DOCUMENT_LIST.TOOLBAR.DELETE,Delete,Eliminar
en.DOCUMENT_LIST.TOOLBAR.FAVORITES,Add to favorites,Añadir a Favoritos
en.DOCUMENT_LIST.TOOLBAR.SHARE,Share,Compartir
en.DOCUMENT_LIST.TOOLBAR.THEME,Select a theme,Seleccionar un tema
en.DOCUMENT_LIST.TOOLBAR.SHOW_VERSION,Show version,Mostrar versión
en.DOCUMENT_LIST.TOOLBAR.HIDE_VERSION,Hide version,Ocultar versión
en.DOCUMENT_LIST.TOOLBAR.LISTVIEW,List view mode,Modo de vista de lista
en.DOCUMENT_LIST.TOOLBAR.CREATE_LIBRARY,Create Library,Crear biblioteca
en.DOCUMENT_LIST.ACTIONS.VERSIONS,Manage versions,Gestionar versiones
en.DOCUMENT_LIST.ACTIONS.LOCK,Lock,Bloquear
en.DOCUMENT_LIST.ACTIONS.METADATA,Info,Información
en.DOCUMENT_LIST.ACTIONS.DOWNLOAD,Download,Descargar
en.DOCUMENT_LIST.ACTIONS.PERMISSION,Permission,Permiso
en.DOCUMENT_LIST.ACTIONS.FOLDER.COPY,Copy,Copiar
en.DOCUMENT_LIST.ACTIONS.FOLDER.MOVE,Move,Mover
en.DOCUMENT_LIST.ACTIONS.FOLDER.DELETE,Delete,Eliminar
en.DOCUMENT_LIST.ACTIONS.DOCUMENT.COPY,Copy,Copiar
en.DOCUMENT_LIST.ACTIONS.DOCUMENT.MOVE,Move,Mover
en.DOCUMENT_LIST.ACTIONS.DOCUMENT.DELETE,Delete,Eliminar
en.DOCUMENT_LIST.ACTIONS.DOCUMENT.PROCESS_ACTION,Start Process,Iniciar proceso
en.DATATABLE.RESET_DEFAULT,Reset to default,Restablecer a predeterminado
en.DATATABLE.ADD_ROW,Add row,Añadir fila
en.DATATABLE.REPLACE_ROWS,Replace rows,Sustituir filas
en.DATATABLE.REPLACE_COLUMNS,Replace columns,Sustituir columnas
en.DATATABLE.LOAD_NODE,Load Node,Cargar nodo
en.DATATABLE.MULTISELECT,Multiselect,Selección múltiple
en.DATATABLE.MULTISELECT_DESCRIPTION,Use Cmd (Mac) or Ctrl (Windows) to toggle selection of multiple items,Utilice Cmd (Mac) o Ctrl (Windows) para cambiar la selección de varios elementos
