String ID,enu,Comment
dod5015-model.dod_dod5015.description,DOD5015 Content Model, 
dod5015-model.dod_dod5015.type.dod_site.title,DOD5015 Site, 
dod5015-model.dod_dod5015.type.dod_site.description,DOD5015 Site, 
dod5015-model.dod_dod5015.type.dod_filePlan.title,DOD5015 File Plan, 
dod5015-model.dod_dod5015.type.dod_filePlan.description,DOD5015 File Plan    , 
dod5015-model.dod_dod5015.type.dod_recordSeries.title,Record Series (Deprecated), 
dod5015-model.dod_dod5015.type.dod_recordSeries.description,Record Series (Deprecated), 
dod5015-model.dod_dod5015.aspect.dod_dod5015record.title,DOD5015 Record, 
dod5015-model.dod_dod5015.aspect.dod_dod5015record.description,DOD5015 Record , 
dod5015-model.dod_dod5015.property.dod_publicationDate.title,Publication Date, 
dod5015-model.dod_dod5015.property.dod_publicationDate.decription,Publication Date, 
dod5015-model.dod_dod5015.property.dod_originator.title,Originator, 
dod5015-model.dod_dod5015.property.dod_originator.decription,Originator, 
dod5015-model.dod_dod5015.property.dod_originatingOrganization.title,Originating Organization, 
dod5015-model.dod_dod5015.property.dod_originatingOrganization.decription,Originating Organization, 
dod5015-model.dod_dod5015.property.dod_mediaType.title,Media Type, 
dod5015-model.dod_dod5015.property.dod_mediaType.decription,Media Type, 
dod5015-model.dod_dod5015.property.dod_format.title,Format, 
dod5015-model.dod_dod5015.property.dod_format.decription,Format, 
dod5015-model.dod_dod5015.property.dod_dateReceived.title,Date Received, 
dod5015-model.dod_dod5015.property.dod_dateReceived.decription,Date Received, 
dod5015-model.dod_dod5015.property.dod_address.title,Addressee, 
dod5015-model.dod_dod5015.property.dod_address.decription,Addressee, 
dod5015-model.dod_dod5015.property.dod_otherAddress.title,Other Addressee, 
dod5015-model.dod_dod5015.property.dod_otherAddress.decription,Other Addressee, 
dod5015-model.dod_dod5015.aspect.dod_scannedRecord.title,Scanned Record, 
dod5015-model.dod_dod5015.aspect.dod_scannedRecord.description,Scanned Record        , 
dod5015-model.dod_dod5015.property.dod_scannedFormat.title,Image Format, 
dod5015-model.dod_dod5015.property.dod_scannedFormat.description,Image Format, 
dod5015-model.dod_dod5015.property.dod_scannedFormatVersion.title,Image Format and Version, 
dod5015-model.dod_dod5015.property.dod_scannedFormatVersion.description,Image Format and Version, 
dod5015-model.dod_dod5015.property.dod_resolutionX.title,Image Resolution X, 
dod5015-model.dod_dod5015.property.dod_resolutionX.description,Image Resolution X, 
dod5015-model.dod_dod5015.property.dod_resolutionY.title,Image Resolution Y, 
dod5015-model.dod_dod5015.property.dod_resolutionY.description,Image Resolution Y, 
dod5015-model.dod_dod5015.property.dod_scannedBitDepth.title,Scanned Bit Depth, 
dod5015-model.dod_dod5015.property.dod_scannedBitDepth.description,Scanned Bit Depth, 
dod5015-model.dod_dod5015.aspect.dod_pdfRecord.title,PDF Record, 
dod5015-model.dod_dod5015.aspect.dod_pdfRecord.description,PDF Record, 
dod5015-model.dod_dod5015.property.dod_producingApplication.title,Producing Application, 
dod5015-model.dod_dod5015.property.dod_producingApplication.description,Producing Application, 
dod5015-model.dod_dod5015.property.dod_producingApplicationVersion.title,Producing Application Version, 
dod5015-model.dod_dod5015.property.dod_producingApplicationVersion.description,Producing Application Version, 
dod5015-model.dod_dod5015.property.dod_pdfVersion.title,PDF Version, 
dod5015-model.dod_dod5015.property.dod_pdfVersion.description,PDF Version, 
dod5015-model.dod_dod5015.property.dod_creatingApplication.title,Creating Application, 
dod5015-model.dod_dod5015.property.dod_creatingApplication.description,Creating Application, 
dod5015-model.dod_dod5015.property.dod_documentSecuritySettings.title,Document Security Settings, 
dod5015-model.dod_dod5015.property.dod_documentSecuritySettings.description,Document Security Settings, 
dod5015-model.dod_dod5015.aspect.dod_digitalPhotographRecord.title,Digital Photograph Record, 
dod5015-model.dod_dod5015.aspect.dod_digitalPhotographRecord.description,Digital Photograph Record, 
dod5015-model.dod_dod5015.property.dod_caption.title,Caption, 
dod5015-model.dod_dod5015.property.dod_caption.description,Caption, 
dod5015-model.dod_dod5015.property.dod_photographer.title,Photographer, 
dod5015-model.dod_dod5015.property.dod_photographer.description,Photographer, 
dod5015-model.dod_dod5015.property.dod_copyright.title,Copyright, 
dod5015-model.dod_dod5015.property.dod_copyright.description,Copyright, 
dod5015-model.dod_dod5015.property.dod_bitDepth.title,Bit Depth, 
dod5015-model.dod_dod5015.property.dod_bitDepth.description,Bit Depth, 
dod5015-model.dod_dod5015.property.dod_imageSizeX.title,Image Size X, 
dod5015-model.dod_dod5015.property.dod_imageSizeX.description,Image Size X, 
dod5015-model.dod_dod5015.property.dod_imageSizeY.title,Image Size Y, 
dod5015-model.dod_dod5015.property.dod_imageSizeY.description,Image Size Y, 
dod5015-model.dod_dod5015.property.dod_imageSource.title,Image Source, 
dod5015-model.dod_dod5015.property.dod_imageSource.description,Image Source, 
dod5015-model.dod_dod5015.property.dod_compression.title,Compression, 
dod5015-model.dod_dod5015.property.dod_compression.description,Compression, 
dod5015-model.dod_dod5015.property.dod_iccIcmProfile.title,ICC/ICM Profile, 
dod5015-model.dod_dod5015.property.dod_iccIcmProfile.description,ICC/ICM Profile, 
dod5015-model.dod_dod5015.property.dod_exifInformation.title,EXIF Information, 
dod5015-model.dod_dod5015.property.dod_exifInformation.description,EXIF Information, 
dod5015-model.dod_dod5015.aspect.dod_webRecord.title,Web Record, 
dod5015-model.dod_dod5015.aspect.dod_webRecord.description,Web Record, 
dod5015-model.dod_dod5015.property.dod_webFileName.title,Web File Name, 
dod5015-model.dod_dod5015.property.dod_webFileName.description,Web File Name, 
dod5015-model.dod_dod5015.property.dod_webPlatform.title,Web Platform, 
dod5015-model.dod_dod5015.property.dod_webPlatform.description,Web Platform, 
dod5015-model.dod_dod5015.property.dod_webSiteName.title,Web Site Name, 
dod5015-model.dod_dod5015.property.dod_webSiteName.description,Web Site Name, 
dod5015-model.dod_dod5015.property.dod_webSiteURL.title,Web Site URL, 
dod5015-model.dod_dod5015.property.dod_webSiteURL.description,Web Site URL, 
dod5015-model.dod_dod5015.property.dod_captureMethod.title,Capture Method, 
dod5015-model.dod_dod5015.property.dod_captureMethod.description,Capture Method, 
dod5015-model.dod_dod5015.property.dod_captureDate.title,Capture Date, 
dod5015-model.dod_dod5015.property.dod_captureDate.description,Capture Date, 
dod5015-model.dod_dod5015.property.dod_contact.title,Contact, 
dod5015-model.dod_dod5015.property.dod_contact.description,Contact, 
dod5015-model.dod_dod5015.property.dod_contentManagementSystem.title,Content Management System, 
dod5015-model.dod_dod5015.property.dod_contentManagementSystem.description,Content Management System, 
dod5015.capability.group.classifiedRecords.title,Classified Records, 
dod5015.capability.UpdateClassificationDates.title,Update Classification Dates, 
dod5015.capability.CreateModifyDestroyClassificationGuides.title,Create Modify Destroy Classification Guides, 
dod5015.capability.UpgradeDowngradeAndDeclassifyRecords.title,Upgrade Downgrade and Declassify Records, 
dod5015.capability.UpdateExemptionCategories.title,Update Exemption Categories, 
dod5015.capability.MapClassificationGuideMetadata.title,Map Classification Guide Metadata, 
dod5015.capability.CreateModifyDestroyTimeframes.title,Create Modify Destroy Time Frames, 
action-service.rm.action.not-defined,The records management action {0} hasn't been defined., 
action-service.rm.action.no-implicit-noderef,There was a system error so the action {0} might not be successful., 
action-service.rm.action.record-not-declared,"The retention action {0} couldn't be performed, because the record {1} isn't complete.", 
action-service.rm.action.expected-record-level,"The retention action {0} couldn't be performed, because {1} isn't a record.", 
action-service.rm.action.not-all-records-declared,"The retention action {0} couldn't be performed, because not all the records in the record folder are complete. (actionedUponNodeRef={1})", 
action-service.rm.action.not-eligible,The record or record folder {1} isn't yet ready for retention action {0}., 
action-service.rm.action.no-disposition-instructions,"The retention action {0} couldn't be performed, because no retention instructions could be found. (nodeRef={1})", 
action-service.rm.action.no-disposition-lisfecycle-set,"The retention action {0} couldn't be performed, because there's no available retention life-cycle set. (nodeRef={1})", 
action-service.rm.action.next-disp-not-set,"The retention action {0} couldn't be performed, because the next retention action isn't set. (nodeRef={1})", 
action-service.rm.action.not-next-disp,"The retention action {0} couldn't be performed, because this isn't the next retention action for this record or record folder. (nodeRef={1})", 
action-service.rm.action.not-record-folder,"The retention action {0} couldn't be performed, because {1} isn't a record folder.", 
action-service.rm.action.actioned-upon-not-record,The action {0} can't be performed because {1} isn't a record., 
action-service.rm.action.custom-aspect-not-recognised,The custom type can't be applied because it's not recognised. (customAspect={0}), 
action-service.rm.action.event-no-disp-lc,The event {0} can't be completed because it's not defined on the retention lifecycle., 
action-service.rm.action.undeclared-only-records,Only records can be completed. (nodeRef={0}), 
action-service.rm.action.no-declare-mand-prop,You need to set all the record's mandatory properties before you can complete the record., 
action-service.rm.action.ghosted-prop-update,You can't update the properties of a previously destroyed record., 
action-service.rm.action.valid-date-disp-asof,Enter a valid date for the retention action as of date., 
action-service.rm.action.disp-asof-lifecycle-applied,You can't edit the retention as of date for a record or record folder which has a lifecycle applied., 
action-service.rm.action.hold-edit-reason-none,You can't edit the hold reason because the hold was created without a reason. Try recreating the hold., 
action-service.rm.action.hold-edit-type,You can't edit the hold reason for {1} because it isn't a hold., 
action-service.rm.action.specify-avlid-date,Enter a valid date for the review as of date., 
action-service.rm.action.review-details-only,You can only edit the review details of vital records., 
action-service.rm.action.freeze-no-reason,You can't hold a record without a reason. Add a reason to the hold., 
action-service.rm.action.freeze-only-records-folders,You can only hold records or record folders., 
action-service.rm.action.no-open-record-folder,You can't reopen {0} because it's not a record folder., 
action-service.rm.action.not-hold-type,You can't carry out the action on {1} because it isn't a hold., 
action-service.rm.action.no-read-mime-message,The filetype message couldn't be read because {0}., 
action-service.rm.action.email-declared,We couldn't split the email because the record is complete. (actionedUponNodeRef={0}), 
action-service.rm.action.email-not-record,"We couldn't split the email because the file, folder, or category isn't a record. (actionedUponNodeRef={0})", 
action-service.rm.action.email-create-child-assoc,We couldn't create a custom child association., 
action-service.rm.action.node-already-transfer,"The file, folder, or category is already being transferred.", 
action-service.rm.action.node-not-transfer,"The file, folder, or category isn't a transfer object.", 
action-service.rm.action.undo-not-last,You can't undo the cut off because the last retention action wasn't cut off., 
action-service.rm.action.records_only_undeclared,You can only complete records., 
action-service.rm.action.event-not-undone,You can't undo the event {0} because it's not defined on the retention lifecycle., 
action-service.rm.action.node-not-record-category,You can't create a retention schedule for ({0}) because it's not a record category., 
action-service.rm.action.parameter-not-supplied,Add a '{0}' to continue., 
action-service.rm.action.delete-not-hold-type,We couldn't delete the hold because {1} isn't of type {0}., 
action-service.rm.action.cast-to-rm-type,You can't upload a custom folder type to the records management file plan., 
action-service.rm.action.record-folder-create,You can't create a record folder in another record folder., 
action-service.rm.action.unique.child.type-error-message,You can't create multiple items of this type here., 
action-service.rm.action.multiple.children.type-error-message,You can't create {0} here., 
action-service.rm.action.create.transfer.container.child-error-message,You can't create items in the Transfer container., 
action-service.rm.action.create.transfer.child-error-message,You can't create items in Transfer Folders., 
action-service.rm.action.create.record.folder.child-error-message,You can only create records in record folders and this was a {0}., 
action-service.rm.action.transfer-non-editable,You can't edit transfer folder or container metadata., 
actions.isClassified.title,Classified by Retention Schedule, 
actions.isClassified.description,Records or record folders been classified by a retention schedule, 
actions.isCutoff.title,Cut Off, 
actions.isCutoff.description,Records or record folders are cut off, 
actions.isDeclared.title,Record Completed, 
actions.isDeclared.description,Record is complete, 
actions.isFrozen.title,On Hold, 
actions.isFrozen.description,Record or record folder on hold, 
actions.isRecordFiled.title,Record Filed, 
actions.isRecordFiled.description,Record is filed, 
actions.isRecordFolderClosed.title,Record Folder Closed, 
actions.isRecordFolderClosed.description,Record folder is closed, 
actions.isVital.title,Vital Record, 
actions.isVital.description,Record or record folder is a vital record, 
actions.hasDispositionAction.title,Has Retention Action, 
actions.hasDispositionAction.description,Records and folders have the specified associated retention action at the specified relative position, 
actions.isKind.title,Type of Records Management Item, 
actions.isKind.description,Items are a file plan component kind, 
actions.isKind.kind.display-label,Kind, 
actions.isRecordType.title,Has Record Type, 
actions.isRecordType.description,Records have a specified record type, 
actions.create-record.title,Declare as Record, 
actions.create-record.description,Declares file as a record and optionally files it, 
actions.create-record.file-plan.display-label,File Plan, 
actions.create-record.hide-record.display-label,Hide Record, 
actions.create-record.path.display-label,Record Folder Location, 
actions.declare-as-version-record.title,Declare Version as Record, 
actions.declare-as-version-record.description,Declares this version of the file as a record, 
actions.declare-as-version-record.file-plan.display-label,File Plan, 
actions.declareRecord.title,Complete Record, 
actions.declareRecord.description,Completes a record, 
actions.undeclareRecord.title,Reopen Record, 
actions.undeclareRecord.description,Reopens a record, 
actions.openRecordFolder.title,Open Record Folder, 
actions.openRecordFolder.description,Opens a record folder, 
actions.closeRecordFolder.title,Close Record Folder, 
actions.closeRecordFolder.description,Closes a Record Folder, 
actions.completeEvent.title,Complete Event, 
actions.completeEvent.description,Completes an event, 
actions.completeEvent.eventName.display-label,Event, 
actions.freeze.title,Freeze, 
actions.freeze.description,Freezes a record, 
actions.freeze.reason.display-label,Reason, 
actions.unfreeze.title,Unfreeze, 
actions.unfreeze.description,Unfreezes a record, 
actions.fileTo.title,File to, 
actions.fileTo.description,Files a record to the specified record folder, 
actions.fileTo.path.display-label,Path to Record Folder, 
actions.fileTo.createRecordPath.display-label,Create Record Path, 
actions.copyTo.title,Copy to, 
actions.copyTo.description,Copies a record to the specified record folder, 
actions.copyTo.path.display-label,Path to Record Folder, 
actions.copyTo.createRecordPath.display-label,Create Record Path, 
actions.moveTo.title,Move to, 
actions.moveTo.description,Moves a record to the specified record folder, 
actions.moveTo.path.display-label,Path to Record Folder, 
actions.moveTo.createRecordPath.display-label,Create Record Path, 
actions.linkTo.title,Link to, 
actions.linkTo.description,Links a record to the specified record folder, 
actions.linkTo.path.display-label,Path to Record Folder, 
actions.linkTo.createRecordPath.display-label,Create Record Path, 
actions.reject.title,Reject, 
actions.reject.description,Rejects a record and moves the file to its original location, 
actions.reject.reason.display-label,Reject Reason, 
actions.requestInfo.title,Request Information, 
actions.requestInfo.description,Starts a workflow for requesting more information for a record, 
actions.executeScript.title,Execute Script, 
actions.executeScript.description,Execute a script, 
actions.executeScript.script-ref.display-label,Script, 
actions.sendEmail.title,Send Email, 
actions.sendEmail.description,Send an email, 
actions.setPropertyValue.title,Set Property Value, 
actions.setPropertyValue.description,Set a property value, 
actions.editHoldReason.title,Edit Hold Reason, 
actions.editHoldReason.description,Edit the hold reason, 
actions.relinquishHold.title,Relinquish Hold, 
actions.relinquishHold.description,Relinquish the hold, 
actions.editReviewAsOfDate.title,Edit Review As Of Date, 
actions.editReviewAsOfDate.description,Edit review as of date, 
actions.editDispositionActionAsOfDate.title,Edit Retention Action As Of Date, 
actions.editDispositionActionAsOfDate.description,Edit the retention action as of date, 
actions.broadcastVitalRecordDefinition.title,Broadcast Vital Record Definition, 
actions.broadcastVitalRecordDefinition.description,Broadcast the vital record definition, 
actions.broadcastDispositionActionDefinitionUpdate.title,Broadcast Retention Action Definition Update, 
actions.broadcastDispositionActionDefinitionUpdate.description,Broadcast retention action definition update, 
actions.undoEvent.title,Undo Event, 
actions.undoEvent.description,Undo event, 
actions.transferComplete.title,Transfer Complete, 
actions.transferComplete.description,Transfer complete, 
actions.accessionComplete.title,Accession Complete, 
actions.accessionComplete.description,Accession complete, 
actions.splitEmail.title,Split Email, 
actions.splitEmail.description,Split email, 
actions.createDispositionSchedule.title,Create Retention Schedule, 
actions.createDispositionSchedule.description,Create retention schedule, 
actions.fileDestructionReport.title,File Destruction Report, 
actions.fileDestructionReport.description,File destruction report, 
actions.cutoff.title,Cut Off, 
actions.cutoff.description,Cut off, 
actions.destroy.title,Destroy, 
actions.destroy.description,Destroy, 
actions.reviewed.title,Reviewed, 
actions.reviewed.description,Reviewed, 
actions.hide-record.title,Hide Record, 
actions.hide-record.description,Hide record, 
actions.transfer.title,Transfer, 
