EN,Product,Context,AR,CZ,DA,DE,ES,FI,FR,IT,JA,NL,NB,PL,PT-BR,RU,SV,ZH-CN
Accession,RM,,تنازل,Přístup,Overdragelse,Aufnahme,Adhesión,Luovutus,Versement à un autre organisme,Trasferimento ad altri,受諾,Overdracht,Tilgang,Akcesja,Adesão,поступление,Överlåtelse,入管
Activiti,ACS,Product name. Do not translate.,,Activiti,Activiti,Activiti,Activiti,Activiti,Activiti,Activiti,Activiti,Activiti,Activiti,Activiti,Activiti,Activiti,Activiti,Activiti
Add to Hold,RM,,إضافة إلى ملكية,Přidat mezi blokované,Føj til venteposition,Zum Sperrbereich hinzufügen,Añadir a bloqueo,Lisää pitoon,Ajouter à la suspension,Aggiungi a sospesi,ホールドに追加,Toevoegen aan wachtstand,Legg til hold,Dodaj do blokady,Adicionar à espera,Заблокировать,Lägg till till begränsning,加入保存
Admin App,APS,,تطبيق الإدارة,Aplikace správce,Admin-app,Administratoranwendung,Aplicación de administración,Hallintasovellus,Application d'administration,Applicazione di amministrazione,管理アプリ,Beheer App,Admin app,Aplikacja administracyjna,Aplicativo de administração,Приложение для администраторов,Admin-program,Admin APP
Admin Console,ACS,,وحدة تحكم الإدارة,Konzole správce,Admin-konsol,Administratorkonsole,Consola de administración,Hallintakonsoli,Console d'administration,Console di amministrazione,管理コンソール,Beheerconsole,Admin-konsoll,Konsola administracyjna,Console de administração,Консоль администратора,Admin-konsol,管理控制台
Admin Tools,ACS,,أدوات الإدارة,Nástroje pro správu,Admin-værktøjer,Administratoren-Tools,Herramientas de administración,Hallintatyökalut,Outils admin,Strumenti di amministrazione,管理ツール,Beheertools,Admin.verktøy,Narzędzia administracyjne,Ferramentas,Инструменты администратора,Admin-verktyg,管理工具
Advanced Search,ACS,,بحث متقدم,Rozšířené hledání,Avanceret søgning,Erweiterte Suche,Búsqueda avanzada,Tarkennettu haku,Recherche avancée,Ricerca avanzata,詳細検索,Geavanceerd zoeken,Avansert søk,Wyszukiwanie zaawansowane,Pesquisa avançada,Расширенный поиск,Avancerad sökning,高级搜索
Alfresco Application Development Framework,ACS,Product name. Do not translate.,,Alfresco Application Development Framework,Alfresco Application Development Framework,Alfresco Application Development Framework,Alfresco Application Development Framework,Alfresco Application Development Framework,Alfresco Application Development Framework,Alfresco Application Development Framework,Alfresco Application Development Framework,Alfresco Application Development Framework,Alfresco Application Development Framework,Alfresco Application Development Framework,Alfresco Application Development Framework,Alfresco Application Development Framework,Alfresco Application Development Framework,Alfresco Application Development Framework
Alfresco Content Package,RM,,,Balíček obsahu Alfresco,Alfresco Content Package,Alfresco Content Package,Fichero de paquete de contenidos de Alfresco,Alfresco-sisältöpaketti,Package de contenu Alfresco,Pacchetto di contenuti Alfresco,Alfresco コンテンツパッケージ (ACP),Alfresco Content Package,Alfresco-innholdspakke,Pakiet treści Alfresco,Pacote de conteúdo Alfresco,Пакет содержимого Alfresco,Alfresco Content Package,Alfresco 内容包 (ACP)
Alfresco Content Services,ACS,Product name. Do not translate.,,Alfresco Content Services,Alfresco Content Services,Alfresco Content Services,Alfresco Content Services,Alfresco Content Services,Alfresco Content Services,Alfresco Content Services,Alfresco Content Services,Alfresco Content Services,Alfresco Content Services,Alfresco Content Services,Alfresco Content Services,Alfresco Content Services,Alfresco Content Services,Alfresco Content Services
