String ID,enu,Comment
workflow-package-messages.workflow.package.already.associated.error,"Cannot associate workflow package {0} with workflow instance {1} as its already associated with workflow instance {2}"".", 
webdav-messages.webdav.repository_title,Content Repository, 
webdav-messages.webdav.directory_listing,Directory listing for, 
webdav-messages.webdav.column.name,Name, 
webdav-messages.webdav.column.size,Size, 
webdav-messages.webdav.column.type,Type, 
webdav-messages.webdav.column.modifieddate,Modified Date, 
webdav-messages.webdav.column.navigate_up,Up a level, 
webdav-messages.webdav.err.dir,"An error occurred whilst generating the directory listing, please contact the system administrator.", 
webdav-messages.webdav.size.bytes,bytes, 
webdav-messages.webdav.size.kilobytes,Kb, 
webdav-messages.webdav.size.megabytes,Mb, 
ui-inplace.bfsit.page.title,Bulk Filesystem In-place Import Tool, 
ui-inplace.bfsit.submit,Initiate Bulk Import, 
ui-inplace.bfsit.label.sourceDirectory,Store-relative import directory path, 
ui-inplace.bfsit.label.contentStore,Content Store, 
ui-inplace.bfsit.label.targetPath,Target repository path, 
ui-inplace.bfsit.label.replaceExisting,Replace existing files, 
ui-inplace.bfsit.label.replaceExisting.unchecked,unchecked means skip files that already exist in the repository, 
ui-inplace.bfsit.error.sourceDirectory,Source directory is mandatory, 
ui-inplace.bfsit.error.contentStore,Destination store is mandatory, 
ui-inplace.bfsit.error.targetPath,Target space is mandatory, 
transfer-service.transfer_service.unable_to_find_transfer_home,Unable to find transfer home: {0}, 
transfer-service.transfer_service.unable_to_find_transfer_group,"Unable to find transfer group with name, {0}", 
transfer-service.transfer_service.unable_to_find_transfer_target,"Unable to find transfer target with name, {0}", 
transfer-service.transfer_service.unable_to_transfer_async,Unable to transfer async, 
transfer-service.transfer_service.target_exists,"Unable to create a new transfer target with the name, {0}, since there is already a target with that name.", 
transfer-service.transfer_service.comms.unsupported_protocol,Unsupported protocol: {0}, 
transfer-service.transfer_service.comms.unsuccessful_response,"Received unsuccessful response code from target server: {0}, {1}", 
transfer-service.transfer_service.comms.http_request_failed,Failed to execute HTTP request {0} to target: {1} status: {2}, 
transfer-service.transfer_service.incompatible_versions,Unable to transfer between incompatible versions transferId:{0} from:{1} to:{2}, 
transfer-service.transfer_service.no_nodes,No nodes to transfer, 
transfer-service.transfer_service.target_not_enabled,Transfer target not enabled {0}, 
transfer-service.transfer_service.cancelled,Transfer cancelled, 
transfer-service.transfer_service.failed_to_get_transfer_status,Failed to retrieve transfer status from target {0}, 
transfer-service.transfer_service.target_error,Transfer target failed with {0}, 
transfer-service.transfer_service.unknown_target_error,Unknown error, 
transfer-service.transfer_service.receiver.no_primary_parent_supplied,Unable to transfer no primary parent supplied., 
transfer-service.transfer_service.receiver.orphans_exist,"Unable to transfer, orphans exist", 
transfer-service.transfer_service.receiver.content_file_missing,"Unable to transfer, content files are missing.", 
transfer-service.transfer_service.receiver.failed_to_create_staging_folder,Unable to create staging directory for transfer {0}, 
transfer-service.transfer_service.receiver.lock_folder_not_found,Unable to locate specified lock folder: {0}, 
