String ID,enu,Comment
admin-console.admin-console.tool.group.email-services,Email Services, 
admin-console.admin-console.tool.group.repository-services,Repository Services, 
admin-console.admin-console.tool.group.user-directories,Directories, 
admin-console.admin-console.tool.group.virtual-file-systems,Virtual File Systems, 
admin-console.admin-console.tool.admin-systemsummary.label,System Summary, 
admin-console.admin-console.tool.admin-systemsummary.description,Summary of general system information, 
admin-console.admin-console.tool.admin-activitiesfeed.label,Activities Feed, 
admin-console.admin-console.tool.admin-activitiesfeed.description,Page to administer the Activities Feed emails., 
admin-console.admin-console.tool.admin-fileservers.label,File Servers, 
admin-console.admin-console.tool.admin-fileservers.description,Page to administer the Fileservers., 
admin-console.admin-console.tool.admin-license.label,License, 
admin-console.admin-console.tool.admin-license.description,Page to view and administer the License., 
admin-console.admin-console.tool.admin-inboundemail.label,Inbound Email, 
admin-console.admin-console.tool.admin-inboundemail.description,Page to administer inbound emails., 
admin-console.admin-console.tool.admin-outboundemail.label,Outbound Email, 
admin-console.admin-console.tool.admin-outboundemail.description,Page to administer Outbound emails., 
admin-console.admin-console.tool.admin-transformations.label,Transformation Services, 
admin-console.admin-console.tool.admin-transformations.description,Page to administer the transformation services., 
admin-console.admin-console.tool.admin-subscriptions.label,Subscription Service, 
admin-console.admin-console.tool.admin-subscriptions.description,Page to administer the subscription service., 
admin-console.admin-console.tool.admin-systemsettings.label,System Settings, 
admin-console.admin-console.tool.admin-systemsettings.description,Page to administer the system settings., 
admin-console.admin-console.tool.admin-searchservice.label,Search Service, 
admin-console.admin-console.tool.admin-searchservice.description,Page to administer the search service., 
admin-console.admin-console.tool.admin-replicationservice.label,Replication Service, 
admin-console.admin-console.tool.admin-replicationservice.description,Page to administer the replication service., 
admin-console.admin-console.tool.admin-directorymanagement.label,Directory Management, 
admin-console.admin-console.tool.admin-directorymanagement.description,User and Group Directory Management, 
admin-console.admin-console.tool.admin-processengines.label,Process Engines, 
admin-console.admin-console.tool.admin-processengines.description,Display Process Engines settings., 
admin-console.admin-console.tool.admin-supporttools.label,Download JMX Dump, 
admin-console.admin-console.tool.admin-supporttools.description,Export detailed system information (JMX dump) to a zip file., 
admin-console.admin-console.tool.admin-repositoryinfo.label,Repository Information, 
admin-console.admin-console.tool.admin-repositoryinfo.description,Display repository information., 
admin-console.admin-console.tool.admin-imap.label,IMAP Service, 
admin-console.admin-console.tool.admin-imap.description,Administer IMAP settings., 
admin-console.admin-console.tool.admin-clustering.label,Repository Server Clustering, 
admin-console.admin-console.tool.admin-clustering.description,Administer and test cluster nodes., 
admin-console.admin-console.tool.admin-flocs.label,Search Service Sharding, 
admin-console.admin-console.tool.admin-flocs.description,Administer search service sharding., 
admin-console.admin-console.tool.admin-testtransform.label,Test Transform, 
admin-console.admin-console.tool.admin-testtransform.description,Administer and test mimetype transformations., 
admin-console.admin-console.tool.admin-jmx-settings.label,JMX Settings, 
admin-console.admin-console.tool.admin-jmx-settings.description,View and Reset JMX Settings., 
admin-console.admin-console.tool.admin-log-settings.label,Log Settings, 
